"","ano","regiao","estado","estacao","qtd","variavel","min","max","zerados"
"42","2018","CO","DF","AGUAS EMENDADAS","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","7.6","35.7","490"
"43","2018","CO","DF","AGUAS EMENDADAS","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","6.8","33.6","566"
"44","2018","CO","DF","AGUAS EMENDADAS","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-1.8","22.6","962"
"45","2018","CO","DF","AGUAS EMENDADAS","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-4.2","20.6","916"
"46","2018","CO","DF","AGUAS EMENDADAS","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","14","96","1732"
"47","2018","CO","DF","AGUAS EMENDADAS","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","12","96","1421"
"48","2018","CO","DF","AGUAS EMENDADAS","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","13","96","1393"
"49","2018","CO","DF","AGUAS EMENDADAS","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","197"
"50","2018","CO","DF","AGUAS EMENDADAS","8760","VENTO..RAJADA.MAXIMA..m.s.","0.9","16.1","943"
"51","2018","CO","DF","AGUAS EMENDADAS","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0.1","6.4","630"
"52","2018","CO","DF","GAMA (PONTE ALTA)","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","47.8","8195"
"53","2018","CO","DF","GAMA (PONTE ALTA)","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","896.2","912.7","517"
"54","2018","CO","DF","GAMA (PONTE ALTA)","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","896.8","912.8","685"
"55","2018","CO","DF","GAMA (PONTE ALTA)","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","896.1","912.6","698"
"56","2018","CO","DF","GAMA (PONTE ALTA)","8760","RADIACAO.GLOBAL..KJ.m..","0","4293.2","3689"
"57","2018","CO","DF","GAMA (PONTE ALTA)","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","8.4","34","312"
